source_id,captured_at_utc,outcome,manifest_sha256,note
S134,20260906T002108Z,allowed,,"XLS+PDF per road category IA/IB/IIA/IIB, 2018-2024, 86 files verified present; Remark column labels each row ATC/TS/INT"
S135,20260906T002109Z,allowed,,"root service listing is public; every folder returns 499 Token Required - closed, name known, no token sought"
S136,20260906T002112Z,allowed,,keyless S3/Azure parquet; release 2026-08-19.0; theme licences differ (ODbL vs CDLA)
S137,20260906T002113Z,allowed,,keyless JSON of last 5 minutes across the network; check Belgrade node count
S138,20260906T002116Z,allowed,,"machine-readable XML of the whole list; Serbia has 5 inscribed, 12 tentative, none in Belgrade"
S139,20260906T002122Z,allowed,,data policy: download requires registration AND forbids redistribution to third parties without consent - incompatible with publishing evidence
S140,20260906T002123Z,allowed,,registration via Danubis required; 79 TNMN monitoring locations basin-wide
S134,20260906T002330Z,allowed,,"XLS+PDF per road category IA/IB/IIA/IIB, 2018-2024, 86 files verified present; Remark column labels each row ATC/TS/INT"
S135,20260906T002333Z,allowed,,"root service listing is public; every folder returns 499 Token Required - closed, name known, no token sought"
S136,20260906T002333Z,allowed,,keyless S3/Azure parquet; release 2026-08-19.0; theme licences differ (ODbL vs CDLA)
S137,20260906T002334Z,allowed,,keyless JSON of last 5 minutes across the network; check Belgrade node count
S138,20260906T002336Z,allowed,,"machine-readable XML of the whole list; Serbia has 5 inscribed, 12 tentative, none in Belgrade"
S139,20260906T002337Z,allowed,,data policy: download requires registration AND forbids redistribution to third parties without consent - incompatible with publishing evidence
S140,20260906T002339Z,allowed,,registration via Danubis required; 79 TNMN monitoring locations basin-wide
S57,20260906T002904Z,allowed,,"was mistakenly captured as S134; correct id is S57. 86 files verified, 2018-2024, Remark column labels ATC/TS/INT"
S95,20260906T002907Z,allowed,,was mistakenly captured as S136; correct id is S95
S04,20260906T002909Z,allowed,,was mistakenly captured as S137; correct id is S04
S141,20260906T004554Z,,,"keyless SPARQL, CC0"
S142,20260906T004557Z,,,"keyless, ODbL, response carries timestamp_osm_base"
