source_id,captured_at_utc,outcome,manifest_sha256,note
S134,20260906T002108Z,unknown,416beefe92a3b1e50c17db13168ac658ea7cd12681b30c8ce26433133d6b0cdc,"XLS+PDF per road category IA/IB/IIA/IIB, 2018-2024, 86 files verified present; Remark column labels each row ATC/TS/INT"
S135,20260906T002109Z,unknown,802aacab956b18cd585b6bb87f15783ca254401b2b910d98eaa33eb0fe751aa3,"root service listing is public; every folder returns 499 Token Required - closed, name known, no token sought"
S136,20260906T002112Z,unknown,0dde3b5bafc77555f085c9df050f79c7f9cbf078c470836135cf7e4d8fa03f49,keyless S3/Azure parquet; release 2026-08-19.0; theme licences differ (ODbL vs CDLA)
S137,20260906T002113Z,unknown,3bd2426f66c26846befba541e44e414088774ce6e135e24e0af8bb8031d2af0e,keyless JSON of last 5 minutes across the network; check Belgrade node count
S138,20260906T002116Z,unknown,eacdc357baa0a5d25730055c6aee7c8f54427f78e7d090c13db4ece98490a950,"machine-readable XML of the whole list; Serbia has 5 inscribed, 12 tentative, none in Belgrade"
S139,20260906T002122Z,unknown,83f95cbb33145d107e95188bc10b5cd2ea65694729ecb8a5247d394d80168069,data policy: download requires registration AND forbids redistribution to third parties without consent - incompatible with publishing evidence
S140,20260906T002123Z,unknown,b6e91484f863f572fd2c97e590f1b54f09a975754db5950e324456c4f7b6cec3,registration via Danubis required; 79 TNMN monitoring locations basin-wide
S134,20260906T002330Z,allowed,e1ffa7fd843f5c75fbde23f80c15fac820794e7a8448edeb7a51e6f728c6995c,"XLS+PDF per road category IA/IB/IIA/IIB, 2018-2024, 86 files verified present; Remark column labels each row ATC/TS/INT"
S135,20260906T002333Z,allowed,091cd45442025bbe728f9e9e41e6b3940015ad38b952e30940ed234b2a80eff7,"root service listing is public; every folder returns 499 Token Required - closed, name known, no token sought"
S136,20260906T002333Z,allowed,b033d1e6fecdf4157d452dbc4eafaf9113c5b1cfdbb1981cb24f4245dc853855,keyless S3/Azure parquet; release 2026-08-19.0; theme licences differ (ODbL vs CDLA)
S137,20260906T002334Z,allowed,02265e9f1420e6b94cecf336cafdcc9f1b3181bda04e43c571a99811ddbc1756,keyless JSON of last 5 minutes across the network; check Belgrade node count
